"filename", "language", "TypeScript", "JavaScript", "CSS", "XML", "TypeScript React", "JavaScript React", "JSON", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Administration.tsx", "TypeScript React", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\Forms\RegisterForm.tsx", "TypeScript React", 0, 0, 0, 0, 75, 0, 0, 6, 6, 87
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\Forms\SingleRegisterForm.tsx", "TypeScript React", 0, 0, 0, 0, 130, 0, 0, 3, 5, 138
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\RadioGroups\RegistrationScenarios.tsx", "TypeScript React", 0, 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Actions\AdminActions.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 6, 74
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Reducers\AdminReducer.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Sagas\RegisterSaga.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\State\RegistrationStateTypes.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Common\AdministrationBackground.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Common\AdministrationLayout.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 1, 7, 67
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Register\RegisterRoute.tsx", "TypeScript React", 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.test.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.tsx", "TypeScript React", 0, 0, 0, 0, 49, 0, 0, 13, 6, 68
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\index.tsx", "TypeScript React", 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approvers\Approvers.tsx", "TypeScript React", 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approvers\ApproversTypes.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Author\Author.tsx", "TypeScript React", 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Author\AuthorTypes.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Avatar\UserAvatar.tsx", "TypeScript React", 0, 0, 0, 0, 46, 0, 0, 34, 2, 82
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsComp.tsx", "TypeScript React", 0, 0, 0, 0, 54, 0, 0, 24, 7, 85
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsText.tsx", "TypeScript React", 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsTitle.tsx", "TypeScript React", 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\MainTitle.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Cards\ModuleCard.tsx", "TypeScript React", 0, 0, 0, 0, 116, 0, 0, 0, 7, 123
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogCancelButton.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogGenerateNetworkButton.tsx", "TypeScript React", 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogGenerateNetworkCancelButtons.tsx", "TypeScript React", 0, 0, 0, 0, 57, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOkayButton.tsx", "TypeScript React", 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOkayCancelButtons.tsx", "TypeScript React", 0, 0, 0, 0, 58, 0, 0, 0, 5, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRemoveNetworkCancelButtons.tsx", "TypeScript React", 0, 0, 0, 0, 58, 0, 0, 0, 4, 62
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRunForecastCancelButtons.tsx", "TypeScript React", 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRunForecastCancelButtonsConfirmation.tsx", "TypeScript React", 0, 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveButton.tsx", "TypeScript React", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveCancelButtons.tsx", "TypeScript React", 0, 0, 0, 0, 58, 0, 0, 0, 4, 62
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSelectButton.tsx", "TypeScript React", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\DialogTypes.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 5, 109
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\Dialogs.tsx", "TypeScript React", 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\EconomicsParameterImportWorkflowDialog.tsx", "TypeScript React", 0, 0, 0, 0, 127, 0, 0, 0, 9, 136
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\ListDialog.tsx", "TypeScript React", 0, 0, 0, 0, 175, 0, 0, 7, 8, 190
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\NewProjectWorkflowDialog.tsx", "TypeScript React", 0, 0, 0, 0, 195, 0, 0, 0, 15, 210
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\SelectWorksheetDialog.tsx", "TypeScript React", 0, 0, 0, 0, 257, 0, 0, 0, 17, 274
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\TextDialog.tsx", "TypeScript React", 0, 0, 0, 0, 127, 0, 0, 0, 8, 135
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\ContextDrawer.tsx", "TypeScript React", 0, 0, 0, 0, 134, 0, 0, 0, 7, 141
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\MainDrawer.tsx", "TypeScript React", 0, 0, 0, 0, 261, 0, 0, 2, 10, 273
