"filename", "language", "JavaScript", "TypeScript React", "TypeScript", "XML", "JavaScript React", "CSS", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Administration.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\Forms\RegisterForm.tsx", "TypeScript React", 0, 75, 0, 0, 0, 0, 6, 6, 87
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\Forms\SingleRegisterForm.tsx", "TypeScript React", 0, 234, 0, 0, 0, 0, 12, 8, 254
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\RadioGroups\RegistrationScenarios.tsx", "TypeScript React", 0, 49, 0, 0, 0, 0, 0, 5, 54
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Actions\AdminActions.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 11, 6, 75
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Reducers\AdminReducer.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Sagas\RegisterSaga.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 8, 94
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\State\RegistrationStateTypes.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Common\AdministrationBackground.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Common\AdministrationLayout.tsx", "TypeScript React", 0, 64, 0, 0, 0, 0, 1, 7, 72
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Register\RegisterRoute.tsx", "TypeScript React", 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.tsx", "TypeScript React", 0, 68, 0, 0, 0, 0, 0, 6, 74
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\index.tsx", "TypeScript React", 0, 3, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approval\Approval.tsx", "TypeScript React", 0, 48, 0, 0, 0, 0, 0, 10, 58
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approval\ApprovalTypes.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approvers\Approvers.tsx", "TypeScript React", 0, 70, 0, 0, 0, 0, 0, 8, 78
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approvers\ApproversTypes.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Author\Author.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 9, 54
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Author\AuthorTypes.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Avatar\UserAvatar.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 34, 2, 82
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\BaseButtons\BaseButtons.tsx", "TypeScript React", 0, 54, 0, 0, 0, 0, 0, 4, 58
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsComp.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 14, 7, 78
