Date : 2020-05-27 12:08:34
Directory : c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform
Total : 76 files,  23285 codes, 149 comments, 419 blanks, all 23853 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |     18,839 |          0 |          3 |     18,842 |
| JavaScript       |         50 |      3,463 |         99 |        305 |      3,867 |
| JavaScript React |         12 |        654 |         24 |         69 |        747 |
| XML              |          8 |        259 |          3 |          5 |        267 |
| Markdown         |          1 |         37 |          0 |         32 |         69 |
| HTML             |          1 |         18 |         23 |          3 |         44 |
| CSS              |          1 |         15 |          0 |          2 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                       |         76 |     23,285 |        149 |        419 |     23,853 |
| public                                                                                                                                                                  |          2 |         43 |         23 |          4 |         70 |
| src                                                                                                                                                                     |         71 |      4,391 |        126 |        381 |      4,898 |
| src\Application                                                                                                                                                         |         35 |      2,129 |         35 |        188 |      2,352 |
| src\Application\App                                                                                                                                                     |          3 |         32 |          4 |          8 |         44 |
| src\Application\Components                                                                                                                                              |         10 |        828 |          6 |         77 |        911 |
| src\Application\Images                                                                                                                                                  |          1 |         10 |          0 |          0 |         10 |
| src\Application\Layout                                                                                                                                                  |          1 |         90 |          0 |         11 |        101 |
| src\Application\Redux                                                                                                                                                   |          8 |        575 |         14 |         43 |        632 |
| src\Application\Redux\Actions                                                                                                                                           |          2 |        303 |          5 |         22 |        330 |
| src\Application\Redux\Middlewares                                                                                                                                       |          2 |          6 |          2 |          3 |         11 |
| src\Application\Redux\Reducers                                                                                                                                          |          2 |        233 |          7 |          9 |        249 |
| src\Application\Redux\State                                                                                                                                             |          2 |         33 |          0 |          9 |         42 |
| src\Application\Redux\State\UIState                                                                                                                                     |          1 |         15 |          0 |          8 |         23 |
| src\Application\Redux\State\UserState                                                                                                                                   |          1 |         18 |          0 |          1 |         19 |
| src\Application\Routes                                                                                                                                                  |          4 |        259 |          2 |         24 |        285 |
| src\Application\Routes\Landing                                                                                                                                          |          1 |         71 |          1 |          6 |         78 |
| src\Application\Routes\Login                                                                                                                                            |          1 |        134 |          1 |          7 |        142 |
| src\Application\Services                                                                                                                                                |          5 |         53 |          1 |         14 |         68 |
| src\Application\Styles                                                                                                                                                  |          2 |        276 |          8 |          9 |        293 |
| src\Application\Utils                                                                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| src\Import                                                                                                                                                              |         28 |      2,069 |         53 |        160 |      2,282 |
| src\Import\Components                                                                                                                                                   |          4 |        264 |         22 |         25 |        311 |
| src\Import\Images                                                                                                                                                       |          6 |        248 |          3 |          5 |        256 |
| src\Import\Redux                                                                                                                                                        |          4 |        196 |          2 |         17 |        215 |
| src\Import\Redux\Actions                                                                                                                                                |          2 |         90 |          0 |          4 |         94 |
| src\Import\Redux\Reducers                                                                                                                                               |          1 |         90 |          2 |          9 |        101 |
| src\Import\Redux\State                                                                                                                                                  |          1 |         16 |          0 |          4 |         20 |
| src\Import\Routes                                                                                                                                                       |         11 |      1,326 |         26 |        101 |      1,453 |
| src\Import\Routes\Common                                                                                                                                                |          2 |         85 |          0 |         14 |         99 |
| src\Import\Routes\EconomicsData                                                                                                                                         |          1 |         11 |          0 |          4 |         15 |
| src\Import\Routes\FacilitiesDeck                                                                                                                                        |          6 |      1,145 |         24 |         73 |      1,242 |
| src\Import\Routes\FacilitiesDeck\ImportExcelWorkflow                                                                                                                    |          4 |        969 |         20 |         57 |      1,046 |
| src\Import\Routes\ForecastDeck                                                                                                                                          |          1 |         74 |          2 |          6 |         82 |
| src\Import\Routes\ProductionData                                                                                                                                        |          1 |         11 |          0 |          4 |         15 |
| src\Import\Services                                                                                                                                                     |          3 |         35 |          0 |         12 |         47 |
| src\Network                                                                                                                                                             |          3 |         29 |          0 |          7 |         36 |
| src\Network\Common                                                                                                                                                      |          1 |         11 |          0 |          4 |         15 |
| src\Network\Images                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\Visualization                                                                                                                                                       |          1 |         11 |          0 |          4 |         15 |
| src\Visualization\Common                                                                                                                                                |          1 |         11 |          0 |          4 |         15 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| fileName                                                                                                                                                                | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\README.md                                                                     | Markdown         |         37 |          0 |         32 |         69 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\package-lock.json                                                             | JSON             |     18,761 |          0 |          1 |     18,762 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\package.json                                                                  | JSON             |         53 |          0 |          1 |         54 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\public\index.html                                                             | HTML             |         18 |         23 |          3 |         44 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\public\manifest.json                                                          | JSON             |         25 |          0 |          1 |         26 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.js                                                    | JavaScript       |         22 |          4 |          4 |         30 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.test.js                                               | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\index.js                                                  | JavaScript       |          2 |          0 |          2 |          4 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\ContextDrawer.jsx                                  | JavaScript React |         65 |          0 |          7 |         72 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DimmedModal.jsx                                    | JavaScript React |         27 |          0 |          2 |         29 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Footer.jsx                                         | JavaScript React |         21 |          3 |          6 |         30 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Image.jsx                                          | JavaScript React |          7 |          0 |          4 |         11 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\InRouteModal.jsx                                    | JavaScript React |         30 |          0 |          4 |         34 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Loading.jsx                                        | JavaScript React |         21 |          0 |          6 |         27 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\MainDrawer.jsx                                     | JavaScript React |        113 |          1 |          7 |        121 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\MaterialUITable.js                                 | JavaScript       |        352 |          1 |         27 |        380 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Navbar.jsx                                         | JavaScript React |        112 |          0 |          6 |        118 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\SubNavbar.jsx                                      | JavaScript React |         80 |          1 |          8 |         89 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\CompanyLogo.svg                                        | XML              |         10 |          0 |          0 |         10 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Layout\Layout.js                                              | JavaScript       |         90 |          0 |         11 |        101 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\UILayoutActions.js                              | JavaScript       |        193 |          5 |          9 |        207 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\UserAction.js                                   | JavaScript       |        110 |          0 |         13 |        123 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\AuthMiddleware.js                           | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\LayoutMiddleware.js                       | JavaScript       |          6 |          2 |          2 |         10 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LayoutReducer.js                             | JavaScript       |        173 |          7 |          7 |        187 |
